99,0xc0175e,for (int jj = j; jj < j + r; jj++) {,,1.000000,33.333333333333329,1.000000,,42.000000,26.000000
100,0xc01775,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,2.000000,66.666666666666657,2.000000,3.000000,123.000000,81.000000
101,0xc017bd,},,,0,,,30.000000,20.000000
512,128,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
84,0xf11896,for (int k = 0; k < COLUMNS; k++),,,0,,,2.000000,1.000000
85,0xf118a1,for (int i = 0; i < ROWS; i++),,168.000000,3.2048836322014496,168.000000,2.000000,14.000000,9.000000
86,0xf118b3,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,5074.000000,96.795116367798556,5074.000000,126.000000,469.000000,270.000000
,,6,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
98,0xf1173f,for (int kk = k; kk < k + r; kk++) {,,,0,,,1.000000,2.000000
99,0xf1175e,for (int jj = j; jj < j + r; jj++) {,,17.000000,80.952380952380949,17.000000,,34.000000,17.000000
100,0xf11775,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,4.000000,19.047619047619047,4.000000,,99.000000,63.000000
101,0xf117bd,},,,0,,,29.000000,16.000000
256,16,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
84,0xf01886,for (int k = 0; k < COLUMNS; k++),,4.000000,1.1976047904191618,4.000000,,,
85,0xf018a4,for (int i = 0; i < ROWS; i++),,6.000000,1.7964071856287425,6.000000,,1.000000,2.000000
86,0xf018b3,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,324.000000,97.005988023952099,324.000000,,31.000000,11.000000
,,6,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
98,0xf01737,for (int kk = k; kk < k + r; kk++) {,,,0,,,2.000000,
99,0xf0175e,for (int jj = j; jj < j + r; jj++) {,,2.000000,100,2.000000,,2.000000,4.000000
100,0xf01775,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,,0,,,13.000000,5.000000
101,0xf017bd,},,,0,,,1.000000,
256,64,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
84,0x1f1886,for (int k = 0; k < COLUMNS; k++),,1.000000,0.30120481927710846,1.000000,,,
85,0x1f18a1,for (int i = 0; i < ROWS; i++),,4.000000,1.2048192771084338,4.000000,,1.000000,1.000000
86,0x1f18b3,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,327.000000,98.493975903614455,327.000000,1.000000,22.000000,12.000000
,,6,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
99,0x1f175e,for (int jj = j; jj < j + r; jj++) {,,,0,,,5.000000,3.000000
100,0x1f1775,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,,0,,,12.000000,7.000000
101,0x1f17bd,},,,0,,,1.000000,
128,16,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
85,0x12718b1,for (int i = 0; i < ROWS; i++),,,0,,,1.000000,
86,0x12718bc,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,,0,,,11.000000,4.000000
,,6,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
98,0x1271742,for (int kk = k; kk < k + r; kk++) {,,,0,,,1.000000,
99,,for (int jj = j; jj < j + r; jj++) {,,,,,,,
100,0x127177e,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,,0,,,1.000000,1.000000
101,0x12717bd,},,,0,,,1.000000,
