102,0x36190f,},,1.000000,0.16474464579901155,1.000000
,,,,,,
512,128,3,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
85,0x1081aba,for (int i = 0; i < ROWS; i++),,61.000000,3.0064070970921635,61.000000
86,0x1081ad5,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,1968.000000,96.993592902907835,1968.000000
,,6,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
98,0x108188f,for (int kk = k; kk < k + r; kk++) {,,6.000000,1.015228426395939,6.000000
99,0x10818ae,for (int jj = j; jj < j + r; jj++) {,,121.000000,20.473773265651438,121.000000
100,0x10818c5,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,348.000000,58.883248730964468,348.000000
101,0x108190d,},,116.000000,19.627749576988155,116.000000
,,,,,,
256,16,3,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
85,0x871ac3,for (int i = 0; i < ROWS; i++),,10.000000,6.756756756756757,10.000000
86,0x871ad5,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,138.000000,93.243243243243242,138.000000
,,6,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
97,0x87186f,for (int ii = i; ii < i + r; ii++) { // WYNIK CZʌCIOWY,,1.000000,1.1764705882352942,1.000000
98,0x87188f,for (int kk = k; kk < k + r; kk++) {,,6.000000,7.0588235294117645,6.000000
99,0x8718ae,for (int jj = j; jj < j + r; jj++) {,,22.000000,25.882352941176475,22.000000
100,0x8718c5,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,42.000000,49.411764705882355,42.000000
101,0x87190d,},,13.000000,15.294117647058824,13.000000
102,0x87190f,},,1.000000,1.1764705882352942,1.000000
,,,,,,
256,64,3,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
84,0xf01aa8,for (int k = 0; k < COLUMNS; k++),,3.000000,2.0689655172413794,3.000000
85,0xf01ac3,for (int i = 0; i < ROWS; i++),,5.000000,3.4482758620689653,5.000000
86,0xf01ad5,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,137.000000,94.482758620689651,137.000000
,,6,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
99,0xf018ae,for (int jj = j; jj < j + r; jj++) {,,12.000000,16.216216216216218,12.000000
100,0xf018c5,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,49.000000,66.21621621621621,49.000000
101,0xf0190d,},,13.000000,17.567567567567568,13.000000
,,,,,,
128,16,3,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
85,0xe41ac9,for (int i = 0; i < ROWS; i++),,1.000000,7.6923076923076925,1.000000
86,0xe41ae1,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,12.000000,92.307692307692307,12.000000
,,6,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
98,0xe41892,for (int kk = k; kk < k + r; kk++) {,,1.000000,12.5,1.000000
99,0xe418ae,for (int jj = j; jj < j + r; jj++) {,,2.000000,25,2.000000
100,0xe418ce,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,4.000000,50,4.000000
101,0xe4190d,},,1.000000,12.5,1.000000
