83,0xcd1bb3,for (int jj = j; jj < j + r; jj++) {,,134.000000,13.715455475946776,134.000000,16.000000,179.000000,468.000000
84,0xcd1baa,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,696.000000,71.238485158648928,696.000000,74.000000,945.000000,1749.000000
Init
,,IJK | | 0.0460,,,,,,,
,,IJK-IKJ | | 0.0780,,,,,,,
512,64,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DC accesses,DC misses,CPU clocks,Ret inst
67,0xe31e3b,for (int k = 0; k < COLUMNS; k++),,8.000000,1.4925373134328357,8.000000,,7.000000,13.000000
68,0xe31e00,for (int j = 0; j < COLUMNS; j++),,8.000000,1.4925373134328357,8.000000,,8.000000,21.000000
69,0xe31e23,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,520.000000,97.014925373134332,520.000000,20.000000,821.000000,1196.000000
,,6,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DC accesses,DC misses,CPU clocks,Ret inst
80,0xe31ba2,for (int k = 0; k < COLUMNS; k += r) {,,,0,,,1.000000,
81,0xe31d2e,for (int ii = i; ii < i + r; ii++) { // WYNIK CZʌCIOWY,,,0,,,4.000000,
82,0xe31b90,for (int kk = k; kk < k + r; kk++) {,,45.000000,6.5789473684210522,45.000000,,55.000000,90.000000
83,0xe31bb3,for (int jj = j; jj < j + r; jj++) {,,69.000000,10.087719298245613,69.000000,9.000000,121.000000,236.000000
84,0xe31bdf,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,570.000000,83.333333333333343,570.000000,190.000000,901.000000,1323.000000
Init
,,IJK | | 0.0460,,,,,,,
,,IJK-IKJ | | 0.0780,,,,,,,
512,128,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DC accesses,DC misses,,
67,0xc21e5b,for (int k = 0; k < COLUMNS; k++),,3.000000,0.55045871559633031,3.000000,,,
68,0xc21e20,for (int j = 0; j < COLUMNS; j++),,6.000000,1.1009174311926606,6.000000,,,
69,0xc21e43,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,536.000000,98.348623853211009,536.000000,20.000000,,
,,6,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DC accesses,DC misses,CPU clocks,Ret inst
82,0xc21d1b,for (int kk = k; kk < k + r; kk++) {,,16.000000,2.5974025974025974,16.000000,,28.000000,33.000000
83,0xc21bd0,for (int jj = j; jj < j + r; jj++) {,,25.000000,4.0584415584415581,25.000000,6.000000,63.000000,109.000000
84,0xc21bfc,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,575.000000,93.344155844155836,575.000000,100.000000,868.000000,1354.000000
Init
,,IJK | | 0.0460,,,,,,,
,,IJK-IKJ | | 0.0620,,,,,,,
256,16,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DC accesses,DC misses,CPU clocks,Ret inst
67,0x2b1e3b,for (int k = 0; k < COLUMNS; k++),,1.000000,1.5384615384615385,1.000000,,4.000000,3.000000
68,0x2b1e00,for (int j = 0; j < COLUMNS; j++),,1.000000,1.5384615384615385,1.000000,,2.000000,7.000000
69,0x2b1e23,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,63.000000,96.92307692307692,63.000000,3.000000,78.000000,145.000000
,,6,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DC accesses,DC misses,CPU clocks,Ret inst
